class,iou
aeroplane,0.3789033889770508
bicycle,0.16457155346870422
bird,0.29634174704551697
boat,0.23553526401519775
bottle,0.25233492255210876
bus,0.5898957252502441
car,0.4084264934062958
cat,0.5296069979667664
chair,0.023456085473299026
cow,0.4630401134490967
dining table,0.21417641639709473
dog,0.4595920145511627
horse,0.526843249797821
motorbike,0.19800397753715515
person,0.006779191549867392
potted plant,0.11940793693065643
sheep,0.4378435015678406
sofa,0.12449456751346588
train,0.42017924785614014
tv monitor,0.2090815156698227
