class,iou
aeroplane,0.5572600960731506
bicycle,0.15257030725479126
bird,0.5793687701225281
boat,0.5370706915855408
bottle,0.23061144351959229
bus,0.5530576705932617
car,0.7657483816146851
cat,0.5653784871101379
chair,0.11938375979661942
cow,0.3423350155353546
dining table,0.3321637809276581
dog,0.6985049247741699
horse,0.7664566040039062
motorbike,0.24918930232524872
person,0.07078094035387039
potted plant,0.4547216296195984
sheep,0.6753388047218323
sofa,0.36502331495285034
train,0.4015793204307556
tv monitor,0.40442588925361633
