run,model,foreground_miou,foreground_pixel_acc,mean_class_acc
epoch_6,atas_epoch6_maskclip,0.016349608078598976,0.13538751006126404,0.05046198517084122
epoch_3,atas_epoch3_maskclip,0.01612314209342003,0.1389935463666916,0.05202315002679825
epoch_1,atas_epoch1_maskclip,0.016048476099967957,0.14090995490550995,0.05327310040593147
baseline,openclip_baseline_maskclip,0.015902576968073845,0.14180198311805725,0.05855415388941765
