class,iou
aeroplane,0.5105204582214355
bicycle,0.17343461513519287
bird,0.3763614594936371
boat,0.3848876655101776
bottle,0.32695701718330383
bus,0.626324474811554
car,0.4687545895576477
cat,0.6264617443084717
chair,0.06680507212877274
cow,0.5286055207252502
dining table,0.19879065454006195
dog,0.5230394005775452
horse,0.5896110534667969
motorbike,0.2519836723804474
person,0.03518270328640938
potted plant,0.16532865166664124
sheep,0.49676263332366943
sofa,0.14499247074127197
train,0.6571276783943176
tv monitor,0.31000563502311707
