run,model,foreground_miou,foreground_pixel_acc,mean_class_acc
baseline,openclip_baseline,0.40156644582748413,0.5564563274383545,0.5680365562438965
epoch_1,atas_full_imagenet_epoch1,0.3186790645122528,0.47695010900497437,0.53639817237854
epoch_2,atas_full_imagenet_epoch2,0.31077173352241516,0.4709450900554657,0.5238126516342163
epoch_6,atas_full_imagenet_epoch6,0.3029256761074066,0.46722015738487244,0.5152158737182617
epoch_3,atas_full_imagenet_epoch3,0.3002740442752838,0.4615913927555084,0.512165367603302
epoch_4,atas_full_imagenet_epoch4,0.2980591654777527,0.4625312387943268,0.5114215612411499
epoch_5,atas_full_imagenet_epoch5,0.29254528880119324,0.4567294716835022,0.5017943978309631
