run,model,foreground_miou,foreground_pixel_acc,mean_class_acc
baseline,openclip_baseline_sclip,0.6826460957527161,0.8033617734909058,0.8292190432548523
epoch_1,atas_full_imagenet_epoch1_sclip,0.44104844331741333,0.5731250047683716,0.643451988697052
epoch_6,atas_full_imagenet_epoch6_sclip,0.4244278073310852,0.5618149042129517,0.6388013958930969
epoch_3,atas_full_imagenet_epoch3_sclip,0.40013137459754944,0.5310347676277161,0.598915159702301
