run,model,top1_knn,top5_neighbor_hit,mean_top1_similarity,mean_own_centroid_similarity,mean_nearest_other_centroid_similarity,centroid_margin
OpenCLIP baseline,openclip_baseline,0.89,0.96525,0.8730416107177734,0.8601768817603588,0.7844777931720018,0.07569908858835697
Full ATAS,atas_checkpoint_epoch_3,0.89125,0.96175,0.7422415237426758,0.6733506700992584,0.44945250045135615,0.22389816964790224
GLD only,atas_checkpoint_epoch_3,0.24125,0.507,0.9700600128173829,0.9479393519461154,0.954870320096612,-0.0069309681504964825
GLD + LLD,atas_checkpoint_epoch_3,0.21175,0.45425,0.9485801239013671,0.9021860198844224,0.9174323499202728,-0.015246330035850405
