class,iou
aeroplane,0.3515814244747162
bicycle,0.15415045619010925
bird,0.27122876048088074
boat,0.23214881122112274
bottle,0.22860202193260193
bus,0.5107982158660889
car,0.4122717082500458
cat,0.5310150980949402
chair,0.026503074914216995
cow,0.4673021733760834
dining table,0.198910653591156
dog,0.4696316719055176
horse,0.5424321889877319
motorbike,0.19117555022239685
person,0.007184296380728483
potted plant,0.11363638192415237
sheep,0.4573342204093933
sofa,0.11235407739877701
train,0.3962254822254181
tv monitor,0.17641930282115936
